"Last updated","Type","Suburb","Venue","Address","Date and time of exposure","Health advice"
"09/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Campbelltown","Oz Design Furniture","Shop 7/17 Blaxland Serviceway","2:15pm to 2:40pm on Sunday 4 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"09/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Coogee","Barzura Coogee","62 Carr Street","9:30am to 9:35am on Saturday 3 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"09/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Coogee","Morning Glory Café Coogee Pavillion","128-130 Beach Street","10:40am to 10:50am on Saturday 3 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"09/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Haberfield","UTS Haberfield Rowers Club","Dobroyd Parade","12:15pm to 12:45pm on Sunday 4 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"09/07/2021","Get tested immediately and self-isolate for 14 days","Homebush","Decode Group Construction Excavation site","136-144 Parramatta Road","7am to 3pm on Wednesday 7 July 2021","Anyone who attended this venue is a                    close contact and must immediately                    get tested and                    self-isolate for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health."
"09/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Hoxton Park","Aldi Hoxton Park","501 Cowpasture Road","3:30pm to 4pm on Monday 5 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"09/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Hoxton Park","Bunnings Hoxton Park","Corner of Cowpasture Road and Airfield Drive","4:25pm to 5pm on Sunday 4 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"09/07/2021","Get tested immediately and self-isolate for 14 days","Liverpool","Speed Medical Practice","2 Speed Street","11:15am to 1:45pm on Wednesday 7 July 2021","Anyone who attended this venue is a                    close contact and must immediately                    get tested and                    self-isolate for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health."
"09/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Liverpool","Tong Li Supermarket Liverpool","Shop 1008/1009 Westfield Liverpool, Macquarie Street","12:55pm to 1:10pm on Monday 5 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"09/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Liverpool","Big W Liverpool Westfield","25 George Street","1:10pm to 1:20pm on Monday 5 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"09/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Liverpool","Michels Patisserrie Liverpool Westfield","Kiosk 1003 Westfield Liverpool","1:20pm to 1:30pm on Monday 5 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"09/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Maroubra","Coles Maroubra Junction","Pacific Square, 737 Anzac Parade","1:15pm to 2pm on Friday 2 July 202111pm to 11:45pm on Tuesday 29 June 20217:10am to 8:20am on Monday 28 June 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"09/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Maroubra","Coles Maroubra Junction","Pacific Square, 737 Anzac Parade","9:50am to 10:20am on Tuesday 6 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"09/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Maroubra","Maroubra Beach Pavilion Beachfront Cafe","3R Marine Parade","2:30pm to 2:45pm on Tuesday 6 July 20212:30pm to 2:45pm on Monday 5 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"09/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Maroubra","My Local Cafe Maroubra","Shop 300/116-132 Maroubra Road","12:30pm to 12:40pm on Wednesday 7 July 20218:45am to 8:55am on Wednesday 7 July 20218:40am to 8:50am on Tuesday 6 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"09/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Mascot","Woolworths Mascot","55 Church Avenue","2:30pm to 3pm on Wednesday 7 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"09/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Matraville","7 Eleven Matraville","515 Bunnerong Road","3:15pm to 4:45pm on Friday 2 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"09/07/2021","Monitor for symptoms","Menai","Parc Menai Skatepark","Corner of Menai Road and Allison Crescent","2pm to 4pm on Monday 5 July 2021","Anyone who attended this venue must monitor for symptoms and if they occur                    get tested immediately and                    self-isolate until you receive a negative result."
"09/07/2021","Get tested immediately and self-isolate for 14 days","Merrylands","Aldi Merrylands","191-201 Pitt Street","2pm to 2:45pm on Monday 5 July 2021","Anyone who attended this venue is a                    close contact and must immediately                    get tested and                    self-isolate for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health."
"09/07/2021","Get tested immediately and self-isolate for 14 days","Merrylands","Direct Trade","Shop 1/150 Merrylands Road","2:20pm to 2:50pm on Saturday 3 July 2021","Anyone who attended this venue is a                    close contact and must immediately                    get tested and                    self-isolate for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health."
"09/07/2021","Get tested immediately and self-isolate for 14 days","Merrylands","Kmart Merrylands","1 McFarlane Street","2:30pm to 3:20pm on Monday 5 July 2021","Anyone who attended this venue is a                    close contact and must immediately                    get tested and                    self-isolate for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health."
"09/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Merrylands","Merrylands Stocklands Shopping Centre","1 Pitt Street","2pm to 3:30pm on Monday 5 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"09/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Miranda","Service NSW Miranda","Shop G120/600 Kingsway","1:30pm to 2pm on Friday 2 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"09/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Mosman","BP Connect Mosman","Corner Avenue Road and Cowles Road","3:15pm to 3:35pm on Sunday 4 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"09/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Mt Druitt","Woolworths Mt Druitt","49 Carlisle Avenue","5:15pm to 5:45pm on Saturday 3 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"09/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Quakers Hill","Aldi Quakers Hill","85 Bali Drive","1:15pm to 1:35pm on Sunday 4 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"09/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Randwick","Bunnings Randwick","Corner Clovelly Road and Kemmis Street","4:30pm to 5:50pm on Thursday 1 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"09/07/2021","Get tested immediately and self-isolate for 14 days","Revesby","Terry White Chemmart Revesby","Shop 16/19-29 Marco Avenue","8am to 3pm on Tuesday 6 July 2021","Anyone who attended this venue is a                    close contact and must immediately                    get tested and                    self-isolate for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health."
"09/07/2021","Get tested immediately and self-isolate for 14 days","St Andrews","St Andrews Pharmacy","Shop 4-5/91 Ballantrae Drive","8:30am to 3:30pm on Wednesday 7 July 2021","Anyone who attended this venue is a                    close contact and must immediately                    get tested and                    self-isolate for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health."
"09/07/2021","Get tested immediately and self-isolate for 14 days","Strathfield","Lab Bakery Cafe","4 The Boulevard","11:30am to 12:45pm on Thursday 1 July 2021","Anyone who attended this venue is a                    close contact and must immediately                    get tested and                    self-isolate for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health."
"09/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Taren Point","McDonalds Taren Point","Taren Point Road","1:35pm to 1:55pm on Monday 5 July 20219:10am to 9:30am on Sunday 4 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"09/07/2021","Get tested immediately and self-isolate for 14 days","Tempe","IKEA Tempe","634-726 Princes Highway","10am to 9pm on Tuesday 6 July 2021","Anyone who attended this venue is a                    close contact and must immediately                    get tested and                    self-isolate for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health."
"09/07/2021","Get tested immediately and self-isolate for 14 days","Wetherill Park","Wetherill Park Medical Centre","Stockland Shopping Centre Shop 101, 561-583 Polding Street","1:45pm to 2:30pm on Wednesday 7 July 2021","Anyone who attended this venue is a                    close contact and must immediately                    get tested and                    self-isolate for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health."
"08/07/2021","Get tested immediately and self-isolate for 14 days","Auburn","Auburn Fresh City Fruit and Vegetables","67-69 Auburn Road","3:30pm to 4:30pm on Monday 5 July 2021","Anyone who attended this venue is a                    close contact and must immediately                    get tested and                    self-isolate for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health."
"08/07/2021","Get tested immediately and self-isolate for 14 days","Auburn","New Star Kebabs","15 Auburn Road","3:30pm to 4:30pm on Monday 5 July 2021","Anyone who attended this venue is a                    close contact and must immediately                    get tested and                    self-isolate for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health."
"08/07/2021","Get tested immediately and self-isolate for 14 days","Auburn","Sahar Market Auburn","1/62 Auburn Road","3:30pm to 4:30pm on Monday 5 July 2021","Anyone who attended this venue is a                    close contact and must immediately                    get tested and                    self-isolate for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health."
"08/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Belmore","Youies","Shop 2/512 Burwood Road","8:30am to 2pm on Sunday 4 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"08/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Belmore","Youies","Shop 2/512 Burwood Road","8:30am to 1pm on Saturday 3 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"08/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Bondi Junction","Coles Eastgate Bondi Junction - Patrons only","Eastgate Shopping Centre, Spring Street and Newland Street","5:30pm to 6:30pm on Wednesday 30 June 20212pm to 7pm on Tuesday 29 June 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"08/07/2021","Get tested immediately and self-isolate for 14 days","Bondi Junction","Coles Eastgate Bondi Junction - Staff only","Eastgate Shopping Centre, Spring Street and Newland Street","5:30pm to 6:30pm on Wednesday 30 June 20212pm to 7pm on Tuesday 29 June 2021","Anyone who attended this venue is a                    close contact and must immediately                    get tested and                    self-isolate for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health."
"08/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Bonnyrigg","Bunnings Bonnyrigg","1/9 Bonnyrigg Avenue","1:45pm to 2:15pm on Tuesday 6 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"08/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Bonnyrigg","Woolworths Bonnyrigg Plaza","100 Bonnyrigg Avenue","3pm to 6:30pm on Friday 2 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"08/07/2021","Monitor for symptoms","Burwood","Emerald Square Burwood","27-31 Belmore Street","12:15pm to 12:45pm on Saturday 3 July 2021","Anyone who attended this venue must monitor for symptoms and if they occur                    get tested immediately and                    self-isolate until you receive a negative result."
"08/07/2021","Get tested immediately and self-isolate for 14 days","Burwood","Kathmandu Westfiield Burwood","Shop 353/100 Burwood Road","12:35pm to 1pm on Sunday 4 July 2021","Anyone who attended this venue is a                    close contact and must immediately                    get tested and                    self-isolate for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health."
"08/07/2021","Get tested immediately and self-isolate for 14 days","Burwood","Mehfil North Indian Cuisine Westfield Burwood","100 Burwood Road","1:05pm to 1:10pm on Sunday 4 July 2021","Anyone who attended this venue is a                    close contact and must immediately                    get tested and                    self-isolate for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health."
"08/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Carlingford","Carlingford Court Shopping Centre","Pennant Hills Road and Carlingford Road","3:15pm to 5:15pm on Wednesday 7 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"08/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Carlingford","Chemist Warehouse Carlingford","821-825 Pennant Hills Road","12:45pm to 1:15pm on Monday 5 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"08/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Edensor Park","Freds One Stop Shopping","661-671 Smithfield Road","1:30pm to 3:30pm on Sunday 4 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"08/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Hillsdale","Woolworths Hillsdale - Patrons only","South Point Shopping Centre, 238-262 Bunnerong Road","9am to 6pm on Thursday 1 July 20219:30am to 6:30pm on Wednesday 30 June 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"08/07/2021","Get tested immediately and self-isolate for 14 days","Hillsdale","Woolworths Hillsdale - Staff only","South Point Shopping Centre, 238-262 Bunnerong Road","9am to 6pm on Thursday 1 July 20219:30am to 6:30pm on Wednesday 30 June 2021","Anyone who attended this venue is a                    close contact and must immediately                    get tested and                    self-isolate for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health."
"08/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Hurstville","King Tea Hurstville","Shop 432 Westfield Hurstville","2pm to 3:15pm on Tuesday 6 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"08/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Hurstville","Woolworths Hurstville","Corner Park and Cross Streets","2:20pm to 3:30pm on Tuesday 6 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"08/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Illawong","Charlie's Grill Chicken and Seafood","G17/273 Fowler Road","2:50pm to 3:10pm on Saturday 3 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"08/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Menai","Aldi Menai","509 Old Illawarra Road","4pm to 4:30pm on Sunday 4 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"08/07/2021","Get tested immediately and self-isolate for 14 days","Merrylands","Australia Post Office Merrylands","12 Memorial Avenue","2pm to 3pm on Monday 5 July 2021","Anyone who attended this venue is a                    close contact and must immediately                    get tested and                    self-isolate for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health."
"08/07/2021","Get tested immediately and self-isolate for 14 days","Merrylands","Sadaqat","6 Memorial Avenue","1:30pm to 2pm on Monday 5 July 2021","Anyone who attended this venue is a                    close contact and must immediately                    get tested and                    self-isolate for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health."
"08/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Panania","IGA Panania","219-223 Tower Street","12:50pm to 1:20pm on Friday 2 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"08/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Parramatta","Coles Parramatta Westfield","159-175 Church Street","5pm to 6pm on Thursday 1 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"08/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Parramatta","Country Growers Parramatta","159-175 Church Street","5:30pm to 5:40pm on Thursday 1 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"08/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Pendle Hill","Woolworth Metro Pendle Hill","109 Pendle Hill Way","10:50am to 11:20am on Tuesday 6 July 20215:45pm to 6:15pm on Saturday 3 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"08/07/2021","Get tested immediately and self-isolate for 14 days","Revesby","Billys Cars","112a Milperra Road","10am to 11:30am on Sunday 4 July 20219am to 5pm on Saturday 3 July 20219am to 5pm on Friday 2 July 2021","Anyone who attended this venue is a                    close contact and must immediately                    get tested and                    self-isolate for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health."
"08/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Revesby","Woolworths Revesby","Marco Avenue","9:55am to 10:20am on Saturday 3 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"08/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Riverwood","Little General Espresso Bar","277 Belmore Road","8am to 8:15am on Thursday 1 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"08/07/2021","Get tested immediately and self-isolate for 14 days","Smithfield","Oregano's Lebanese Bakery and Cafe","1/693 The Horsley Drive","2pm to 2:30pm on Monday 5 July 2021","Anyone who attended this venue is a                    close contact and must immediately                    get tested and                    self-isolate for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health."
"08/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Telopea","The Valley Pharmacy","4 Benaud Place","3pm to 3:30pm on Tuesday 6 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"08/07/2021","Get tested immediately and self-isolate for 14 days","Wetherill Park","Beds R Us Wetherill Park","Greenway Plaza and Homemaker Greenway. Unit 70-71 1183 The Horsley Drive","2:30pm to 3:15pm on Monday 5 July 2021","Anyone who attended this venue is a                    close contact and must immediately call NSW Health on 1800 943 553                    get tested and                    self-isolate for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health."
"08/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Wetherill Park","Coles Wetherill Park Stockland Wetherill Park","561-563 Polding Street","12:30pm to 2:30pm on Sunday 4 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"08/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Wetherill Park","JB HiFi Wetherill Park","561-583 Polding Street","2:30pm to 3:15pm on Saturday 3 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"08/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Wetherill Park","Vodafone Wetherill Park","251/561-583 Polding Street","12:30pm to 12:40pm on Sunday 4 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
